Speaker Name,Affiliation,Website,Abstract,Photo
Thomas Berrett,University of Warwick,https://thomasberrett.github.io/,berrett_thomas.txt,berrett_thomas.jpg
Jelena Bradic,UC San Diego,http://www.jelenabradic.net/,bradic_jelena.txt,bradic_jelena.jpg
Timothy Cannings,University of Edinburgh,https://www.maths.ed.ac.uk/~tcannings/About_Me.html,cannings_timothy.txt,cannings_timothy.jpg
Jean Feng,UC San Francisco,https://www.jeanfeng.com/,feng_jean.txt,feng_jean.jpg
Lan Gao,"University of Tennessee, Knoxville",https://www.gaolan.page/,gao_lan.txt,gao_lan.jpg
Jose Angel Sanchez Gomez,UC Riverside,https://statistics.ucr.edu/image/dr-jose-angel-sanchez-gomez,gomez_jose.txt,gomez_jose.jpg
Yuqi Gu,Columbia University,https://stat.columbia.edu/~yuqigu/,gu_yuqi.txt,gu_yuqi.jpg
Ana Maria Kenney,UC Irvine,https://sites.psu.edu/ajk5910/,kenney_ana.txt,kenney_ana.jpg
Jingyi Jessica Li,UC Los Angeles,http://jsb.ucla.edu/about-jingyi-jessica-li,li_jingyi.txt,li_jingyi.jpg
Anna Neufeld,Williams College,https://anna-neufeld.github.io/,neufeld_anna.txt,neufeld_anna.jpg
Snigdha Panigrahi,University of Michigan,https://snigdha-panigrahi.netlify.app/,panigrahi_snigdha.txt,panigrahi_snigdha.jpg
Nicole Pashley,Rutgers University,https://sites.google.com/view/npashley/,pashley_nicole.txt,pashley_nicole.jpg
Annie Qu,UC Irvine,https://www.stat.uci.edu/faculty/annie-qu/,qu_annie.txt,qu_annie.jpg
Zhimei Ren,University of Pennsylvania,https://zhimeir.github.io/,ren_zhimei.txt,ren_zhimei.jpg
Alessandro Rinaldo,University of Texas at Austin,https://arinaldo.github.io/,rinaldo_alessandro.txt,rinaldo_alessandro.jpg
Yaniv Romano,Technion,https://sites.google.com/view/yaniv-romano/,romano_yaniv.txt,romano_yaniv.jpg
Cynthia Rush,Columbia University,https://www.columbia.edu/~cgr2130/,rush_cynthia.txt,rush_cynthia.jpg
Damla Senturk,UC Los Angeles,https://ph.ucla.edu/about/faculty-staff-directory/damla-senturk,senturk_damla.txt,senturk_damla.jpg
Jane-Ling Wang,UC Davis,https://www.stat.ucdavis.edu/~wang/,wang_jane-ling.txt,wang_jane-ling.jpg
Lan Wang,University of Miami,https://sites.google.com/view/lanwang/home,wang_lan.txt,wang_lan.jpg
Miaoyan Wang,University of Wisconsin-Madison,https://pages.stat.wisc.edu/~miaoyan/,wang_miaoyan.txt,wang_miaoyan.jpg
Yi Yu,University of Warwick,https://warwick.ac.uk/fac/sci/statistics/staff/academic-research/yu/,yu_yi.txt,yu_yi.jpg
Yichen Zhang,Purdue University,https://web.ics.purdue.edu/~yichen/,zhang_yichen.txt,zhang_yichen.jpg
Yuhua Zhu,UC Los Angeles,https://www.yuhuazhu.org/,zhu_yuhua.txt,zhu_yuhua.jpg
José R. Zubizarreta,Harvard University,http://jrzubizarreta.com/,zubizarreta_jose.txt,zubizarreta_jose.jpg
Weinan Wang,LinkedIn,,wang_weinan.txt,wang_weinan.jpg
